,0,1
0,20.056769542314626,added_by
1,15.102941842656897,developer
2,11.377289458628939,year
3,9.61340051681154,responsible
4,7.706460707711087,responsible_count
5,6.739100415066304,views_num
6,5.567129390726775,regulatory_impact
7,5.045967958341593,mineco_solution
8,3.828302949667192,year_end
9,3.5566189341202894,month
10,2.6805372151031612,npa_type
11,2.561322863823398,act_objectives
12,1.4692443071322885,text_len
13,1.2984208168819238,co_dev_mean
14,0.8679227411762085,dislikes_num
15,0.6070286127066106,проект
16,0.39511273143298725,act_significance
17,0.38318585776979747,problem_addressed
18,0.32469114972108326,text
19,0.30027456702778116,relations_regulated_by_act
20,0.25761123536549124,persons_affected_by_act
21,0.10233355844803242,okved_list
22,0.07842956149561092,is_regionally_signigicant
23,0.07319963663337845,act_changes_controlling_activities
24,0.006703429236825132,co_developer_bool
